,hotstar_id,year,running_time,seasons,episodes
0,1835064133,2021,17.0,,
1,1260015636,2019,42.0,,
2,1000070418,2009,129.0,,
3,1770000804,2006,103.0,,
4,1770005017,2017,44.0,,
5,1260050137,2020,45.0,,
6,1000115927,2006,92.0,,
7,1000109207,1961,149.0,,
8,1000159295,2007,109.0,,
9,1000044265,2010,153.0,,
10,1260013109,2019,171.0,,
11,1260013408,2019,144.0,,
12,1260018144,1970,78.0,,
13,1000060175,2010,139.0,,
14,1000101758,2005,120.0,,
15,1260009640,2019,129.0,,
16,1260012199,2016,89.0,,
17,1260047826,2020,134.0,,
18,1000105487,1991,152.0,,
19,1000064123,2003,137.0,,
20,1000158656,1979,151.0,,
21,1000222757,2018,148.0,,
22,1000096731,2009,109.0,,
23,1770020991,2009,110.0,,
24,1000164396,2009,143.0,,
25,1000232194,2019,44.0,,
26,1000013722,2007,113.0,,
27,1000196114,2017,124.0,,
28,1610006424,2019,15.0,,
29,1000068116,2015,92.0,,
30,1770005008,2017,47.0,,
31,1000106768,2000,126.0,,
32,1000201850,2017,160.0,,
33,1260024253,2016,15.0,,
34,1260087244,2006,148.0,,
35,1000158666,1994,172.0,,
36,1000019466,2012,129.0,,
37,1000154639,2013,124.0,,
38,1770002659,2013,139.0,,
39,1770016537,2016,106.0,,
40,1000158576,2013,125.0,,
41,1000037734,2009,143.0,,
42,1000081084,2013,160.0,,
43,1000152079,1973,121.0,,
44,1000061023,2013,134.0,,
45,1770000737,2009,99.0,,
46,1000107874,1997,146.0,,
47,1770000745,2006,109.0,,
48,1770017022,2005,129.0,,
49,1260055845,2021,45.0,,
50,1260086982,2022,46.0,,
51,1826032709,2019,9.0,,
52,1260024444,2020,84.0,,
53,1260044470,1971,92.0,,
54,1000103407,2009,100.0,,
55,1770000704,2011,118.0,,
56,1770000958,1992,119.0,,
57,1000108014,1990,131.0,,
58,1260027181,1996,89.0,,
59,1826057169,2020,10.0,,
60,1000058605,2011,131.0,,
61,1000192033,2007,80.0,,
62,1000186415,2007,126.0,,
63,1000101735,1986,126.0,,
64,1837059289,2021,7.0,,
65,1770015334,2016,124.0,,
66,1260068216,2021,135.0,,
67,1100018732,2017,124.0,,
68,1260099482,2022,16.0,,
69,1770002760,2011,150.0,,
70,1000069033,2013,108.0,,
71,1260018314,2014,97.0,,
72,1260043306,2016,14.0,,
73,1826063791,2018,31.0,,
74,1260018349,1962,93.0,,
75,1260018360,1998,102.0,,
76,1000159427,1997,136.0,,
77,1000225189,2018,155.0,,
78,1610012413,2019,9.0,,
79,1000104260,1985,131.0,,
80,1000164306,1998,106.0,,
81,1000230505,2018,89.0,,
82,1260014808,2017,162.0,,
83,1260024435,2020,77.0,,
84,1000057180,2013,141.0,,
85,1000232078,2016,106.0,,
86,1770002751,1996,144.0,,
87,1000109912,2010,128.0,,
88,1000108805,1984,120.0,,
89,1000109719,2011,131.0,,
90,1610015017,2018,7.0,,
91,1260098096,2022,3.0,,
92,1260099608,2021,16.0,,
93,1660010203,2004,113.0,,
94,1260017844,1989,128.0,,
95,1000210351,2011,135.0,,
96,1260015867,2019,127.0,,
97,1260023112,2011,5.0,,
98,1260036204,2020,133.0,,
99,1260018319,1998,109.0,,
100,1000108614,1982,117.0,,
101,1000238182,1995,148.0,,
102,1000160435,2016,138.0,,
103,1000109134,1953,108.0,,
104,1260103190,2022,157.0,,
105,1770000655,2010,88.0,,
106,1000044070,2009,151.0,,
107,1000163704,1999,156.0,,
108,1770015388,2007,86.0,,
109,1000036276,2011,182.0,,
110,1000192025,2009,90.0,,
111,1770021486,1996,45.0,,
112,1770002746,2011,102.0,,
113,1770002321,2015,141.0,,
114,1000107678,1990,128.0,,
115,1000184607,2008,93.0,,
116,1260103184,2022,157.0,,
117,1000019449,2004,108.0,,
118,1000057130,2009,136.0,,
119,1000064126,2012,144.0,,
120,1770003036,2016,168.0,,
121,1826027815,2020,34.0,,
122,1000062153,2006,133.0,,
123,1770020942,2013,95.0,,
124,1260062909,2021,7.0,,
125,1000081082,2013,139.0,,
126,1826040414,2018,22.0,,
127,1000091062,2015,118.0,,
128,1000154986,1989,113.0,,
129,1000163706,1973,149.0,,
130,1000101761,2001,115.0,,
131,1770021003,2010,88.0,,
132,1000103968,1983,140.0,,
133,1260023084,2018,80.0,,
134,1000105489,2001,142.0,,
135,1610032483,2018,17.0,,
136,1000237233,1973,138.0,,
137,1260023085,2014,22.0,,
138,1000115095,1986,121.0,,
139,1000036270,1989,110.0,,
140,1000154886,2012,138.0,,
141,1000063883,2005,140.0,,
142,1000157980,1982,138.0,,
143,1000063863,2005,137.0,,
144,1260027506,2004,75.0,,
145,1000088161,2011,144.0,,
146,1260106183,2010,70.0,,
147,1000037741,2007,131.0,,
148,1770000667,2009,107.0,,
149,1000216013,2017,125.0,,
150,1000104788,1994,150.0,,
151,1000097072,2002,166.0,,
152,1000231066,2016,114.0,,
153,1770000963,2002,81.0,,
154,1000213010,2017,120.0,,
155,1260017758,1937,79.0,,
156,1000186116,2011,74.0,,
157,1260022855,2019,8.0,,
158,1000163537,1968,132.0,,
159,1000238372,2016,41.0,,
160,1000230153,2019,44.0,,
161,1260027571,2005,99.0,,
162,1000102370,2009,115.0,,
163,1000226712,2018,123.0,,
164,1000061381,2010,134.0,,
165,1000071158,2013,97.0,,
166,1000157710,1996,132.0,,
167,1000057182,2013,118.0,,
168,1260028564,1995,107.0,,
169,1610023380,2020,10.0,,
170,1770002649,2002,162.0,,
171,1260022874,2019,3.0,,
172,1000157635,1985,112.0,,
